customer_id,customer_name,email,phone,zone_id
44,Alyssa Ramirez,danielanderson@baker-wang.net,001-060-577-5821x25653,5
45,Carolyn White,victoriahernandez@yahoo.com,371.798.4018x4422,5
46,Danielle Webster,susan33@yahoo.com,+1-507-500-0401x677,5
47,Bobby Wilcox,josephbrown@hotmail.com,001-875-209-2627x09595,5
48,Kristin Hanson,smills@yahoo.com,001-762-595-6921x58182,2
49,George Scott,steelenatalie@hotmail.com,+1-958-643-2612,2
50,Jessica Reynolds,ybaker@hotmail.com,(519)700-2629,5
51,Matthew Clark,mlopez@berger.com,333-142-5030x928,2
52,Andrea Brown,fisherzachary@thompson.net,001-496-290-9113x24852,5
53,Willie Ward,phutchinson@gmail.com,(704)056-9398x02845,2
54,Jacqueline Mccoy,margaret81@page.net,969.004.6686x35000,2
55,Jason Ortiz,matthewfischer@gmail.com,(112)659-0911x11780,3
56,Sarah Herrera,swallace@gmail.com,+1-491-417-8618x5211,4
57,Jason Bird,bramos@scott.net,540.654.6239x6175,4
58,Mrs. Whitney Edwards DDS,reneemclaughlin@gmail.com,+1-582-626-3541x973,4
59,David Jones,romeroangela@yahoo.com,+1-547-237-7567x93662,3
60,Ashley Lee,michealalexander@diaz-barron.info,261.759.5086,2
61,William Cooper,heatherbennett@sanders.com,(615)726-7194x7201,1
62,Christina Thompson,xsmith@evans.org,+1-522-155-1967x8498,4
63,Benjamin Martin,billycunningham@hotmail.com,+1-932-484-2089x04687,3
64,Tony Allen,fwilson@hotmail.com,324.373.1915x5471,1
65,Taylor Smith,melinda08@gmail.com,770-304-8072,3
66,Martin Andrade,maldonadodamon@morgan.com,(347)726-3456x82741,1
67,Anna Hall,steelebrian@gmail.com,625.824.3330x551,4
68,Donald Williams,allenlarry@owens-guerrero.com,+1-125-142-9061,1
69,Walter Randolph,bergkaren@richardson.com,477.542.2164x02977,4
70,Ryan Foster,lberg@reyes.com,001-454-920-3178x57107,4
71,Frank Hall,edwardmoore@mercado.net,578-157-1870,2
72,Steven Weaver,elizabeth73@yahoo.com,+1-066-156-1090x4318,3
73,Andrew Becker,ylewis@schroeder.info,753-236-3900x203,3
74,Amy Mason,huffmancatherine@gmail.com,534-141-5928x7975,4
75,Robert Green,hernandezrobert@phillips-adams.com,+1-953-789-1111,2
76,Jennifer Lucas,william07@gmail.com,889-271-9927x6049,1
77,Elizabeth Garcia,gary24@patterson.org,001-292-242-6139x2389,1
78,Alexander Davis,xtran@hotmail.com,6852686474,3
79,Teresa Lee,douglas62@gmail.com,009.117.9376x84779,3
80,Jason Waller,janice01@schmidt.info,968-308-4950x362,4
81,Brian Franklin,gonzalezelizabeth@king-gibbs.com,3766382297,3
82,Hailey Long,william31@williamson.net,(798)463-9102x98637,5
83,Katie Garcia,perezangelica@gmail.com,(312)417-0122,1
84,Denise Marsh,santiagorenee@hughes.com,+1-834-789-4734x36006,3
85,Mark Ramsey,riverajacob@harper-holmes.com,001-485-357-2722,4
86,Amy Kelley,jose25@hotmail.com,+1-215-688-4892x6504,2
87,Rachel David,debbie72@yahoo.com,001-322-573-9865x099,2
88,David Rogers,hernandezmichaela@pope.biz,(440)136-7279,4
89,Jessica Lee,robertsonmichael@hotmail.com,663.423.0524,5
90,Jennifer Weeks,rbutler@leonard-haney.com,894-967-6486,1
91,Joseph Smith,brianturner@murphy.com,(171)877-9960,4
92,Karen Thornton,erin61@woods.com,+1-865-125-6096x3929,4
93,Melissa Yang,riveratamara@hotmail.com,800.414.7611x132,2
94,Eric Garrison,fmccormick@hotmail.com,(525)054-8972x0211,1
95,Michelle Ochoa,christophermckinney@gmail.com,727-564-2024x136,5
96,Justin Cooper,michellebaker@marshall.net,(115)523-7559x4231,4
97,April Hull,jeremiahjohnson@hotmail.com,(904)300-8615x9951,2
98,Rachel Howell,andrewkrause@yahoo.com,(983)387-8635,2
99,James White,danderson@hotmail.com,+1-501-119-9118x098,4
100,Jennifer Walker,jessicalarson@morris.com,001-510-750-8566x914,2
